Date,Open,High,Low,Close,Volume
04/01/2010,14.35,14.45,14.15,14.3,107200
05/01/2010,14.3,14.5,14,14.2,122400
06/01/2010,14.3,14.3,14,14.25,464400
07/01/2010,14,14.3,14,14.15,129900
08/01/2010,14.05,14.5,14.05,14.5,956400
11/01/2010,14.5,14.7,14.25,14.25,298800
12/01/2010,14.5,14.5,14.2,14.3,145000
13/01/2010,14.45,14.45,14.3,14.4,289900
14/01/2010,14.35,14.4,14.25,14.25,1810500
15/01/2010,14.3,15,14.25,14.8,2695500
18/01/2010,14.8,16,14.8,16,4880100
19/01/2010,16.5,17.2,15.85,16.95,2887500
20/01/2010,16.5,17.7,16.5,17.45,6526300
21/01/2010,17.3,17.5,17,17.3,11509900
22/01/2010,17,17.2,16.5,16.8,1250000
25/01/2010,17,17,16.55,16.9,10465900
26/01/2010,16.9,16.95,16.75,16.9,20137800
27/01/2010,16.9,16.9,16.6,16.65,250300
28/01/2010,16.55,16.6,15.6,16,597100
29/01/2010,16.75,16.75,15.8,15.8,503500
01/02/2010,16,16,14.85,14.85,388200
02/02/2010,15.7,15.95,15,15.8,354500
03/02/2010,16,16.3,15.9,16,536500
04/02/2010,16,16.7,16,16.7,330300
05/02/2010,16.5,16.7,16.35,16.5,146000
08/02/2010,16.5,16.5,15.95,16,350800
09/02/2010,16,16.05,15.9,15.9,1072200
10/02/2010,15.95,16.1,15.9,16.1,569300
11/02/2010,16,16.1,15.95,16,179600
12/02/2010,16,16.2,16,16.1,221700
15/02/2010,16,16.1,15.95,16,467300
16/02/2010,16,16.05,15.7,15.7,926200
17/02/2010,15.8,15.8,15.1,15.65,303000
18/02/2010,15.7,15.9,15.5,15.6,241300
19/02/2010,15.7,15.7,15.4,15.4,1684200
22/02/2010,15.5,15.7,15.25,15.3,167300
23/02/2010,15.4,15.6,15.35,15.4,594300
24/02/2010,15.5,16,15.5,15.7,171600
25/02/2010,15.7,15.95,15.7,15.7,981700
26/02/2010,15.7,15.8,15.55,15.55,241800
01/03/2010,15.6,15.65,15.55,15.6,222800
02/03/2010,15.7,15.8,15.55,15.6,2117000
03/03/2010,15.7,16,15.7,15.8,411500
04/03/2010,15.75,15.8,15.45,15.65,2854500
05/03/2010,15.7,15.75,15.4,15.55,7766300
08/03/2010,15.7,15.75,15.55,15.6,3398400
09/03/2010,15.7,15.75,15.6,15.7,2748300
10/03/2010,15.75,15.8,15.65,15.8,1470800
11/03/2010,15.75,15.8,15.6,15.7,317800
12/03/2010,15.7,15.75,15.4,15.65,243100
15/03/2010,15.7,15.8,15.5,15.6,1558000
16/03/2010,15.6,15.7,15.6,15.7,1976400
17/03/2010,15.6,16,15.6,15.95,1588300
18/03/2010,15.8,16,15.6,16,3058100
19/03/2010,16,16.05,15.7,15.8,1136500
22/03/2010,15.9,16,15.75,15.95,825000
23/03/2010,15.85,15.95,15.6,15.75,732000
24/03/2010,15.85,15.85,15.6,15.8,1952300
25/03/2010,15.75,16,15.75,16,542700
26/03/2010,15.7,15.8,15.4,15.8,1987200
29/03/2010,15.6,15.8,15,15.65,1235000
30/03/2010,15.7,15.85,15.65,15.8,3253600
31/03/2010,15.7,15.85,15.7,15.85,1280000
01/04/2010,15.7,16,15.7,16,4413200
