Date,Open,High,Low,Close,Volume
04/01/2010,4.55,4.65,4.55,4.6,2802800
05/01/2010,4.55,4.7,4.55,4.65,1965900
06/01/2010,4.7,4.9,4.7,4.8,3856500
07/01/2010,4.9,5.05,4.85,4.95,22382600
08/01/2010,5,5.1,5,5,37595100
11/01/2010,5,5.15,5,5.1,20471900
12/01/2010,5,5.2,5,5.2,52153000
13/01/2010,5.15,5.65,5.1,5.65,31640600
14/01/2010,5.65,5.9,5.5,5.7,34234300
15/01/2010,5.6,5.7,5.45,5.6,27798800
18/01/2010,5.5,6.1,5.5,6.1,88012700
19/01/2010,6,6.05,5.55,5.8,14774100
20/01/2010,5.95,5.95,5.5,5.55,9270600
21/01/2010,5.55,5.6,5.35,5.5,21946000
22/01/2010,5.4,5.5,5.35,5.4,9563200
25/01/2010,5.45,5.7,5.45,5.55,13145600
26/01/2010,5.5,5.6,5.5,5.5,12217600
27/01/2010,5.55,5.7,5.45,5.55,9237500
28/01/2010,5.5,5.55,5.35,5.4,10749000
29/01/2010,5.4,5.45,5.1,5.2,6447700
01/02/2010,5.25,5.35,5.05,5.05,9305000
02/02/2010,5.05,5.1,5,5,2873900
03/02/2010,5.05,5.5,4.9,5.5,41541300
04/02/2010,5.4,5.85,5.35,5.85,32318300
05/02/2010,5.7,5.75,5.55,5.7,9438300
08/02/2010,5.6,5.6,5.3,5.5,7270900
09/02/2010,5.5,5.55,5.3,5.55,4621900
10/02/2010,5.5,5.55,5.35,5.45,4983800
11/02/2010,5.35,5.5,5.35,5.35,2590600
12/02/2010,5.35,5.4,5.35,5.35,3129000
15/02/2010,5.35,5.4,5.35,5.4,4802600
16/02/2010,5.4,5.4,5.15,5.3,7149600
17/02/2010,5.2,5.3,5.15,5.3,7966200
18/02/2010,5.3,5.4,5.25,5.35,4673000
19/02/2010,5.35,5.4,5.3,5.35,9550300
22/02/2010,5.35,5.45,5.35,5.35,4669700
23/02/2010,5.35,5.4,5.3,5.3,2278200
24/02/2010,5.35,5.45,5.3,5.3,7657900
25/02/2010,5.35,5.5,5.3,5.5,27200600
26/02/2010,5.35,5.45,5.35,5.45,17827300
01/03/2010,5.4,5.45,5.25,5.4,9327800
02/03/2010,5.4,5.45,5.35,5.4,10131400
03/03/2010,5.4,5.45,5.35,5.4,9291900
04/03/2010,5.4,5.5,5.35,5.45,6371900
05/03/2010,5.4,5.45,5.35,5.45,4816300
08/03/2010,5.4,5.45,5.4,5.4,18276900
09/03/2010,5.4,5.5,5.4,5.45,16307800
10/03/2010,5.45,5.5,5.4,5.45,8590000
11/03/2010,5.45,5.5,5.45,5.5,7645700
12/03/2010,5.45,5.55,5.45,5.55,4499100
15/03/2010,5.45,5.5,5.4,5.45,12459400
16/03/2010,5.45,5.5,5.45,5.45,9597200
17/03/2010,5.45,5.5,5.35,5.4,39122700
18/03/2010,5.4,5.45,5.3,5.35,10971800
19/03/2010,5.4,5.45,5.3,5.35,49191200
22/03/2010,5.3,5.45,5.2,5.25,38248900
23/03/2010,5.35,5.6,5.3,5.55,12062400
24/03/2010,5.5,5.6,5.5,5.5,12525700
25/03/2010,5.5,5.55,5.5,5.5,4383800
26/03/2010,5.5,5.6,5.5,5.6,19140300
29/03/2010,5.5,5.6,5.5,5.5,13937300
30/03/2010,5.5,5.6,5.5,5.5,8291700
31/03/2010,5.55,5.6,5.5,5.5,52668600
01/04/2010,5.55,5.6,5.4,5.55,6981000
06/04/2010,5.5,5.6,5.5,5.55,14056700
07/04/2010,5.55,5.6,5.55,5.55,11342000
08/04/2010,5.55,5.6,5.5,5.5,6085900
09/04/2010,5.5,5.6,5.5,5.55,6405700
12/04/2010,5.55,5.65,5.55,5.6,12289500
13/04/2010,5.6,5.7,5.5,5.65,15660500
14/04/2010,5.65,5.85,5.65,5.8,14060400
15/04/2010,5.8,5.95,5.8,5.85,9700300
16/04/2010,5.8,5.9,5.65,5.75,19698900
19/04/2010,5.75,5.8,5.5,5.7,10258900
20/04/2010,5.7,5.85,5.7,5.8,5971600
21/04/2010,5.8,5.85,5.75,5.8,5878400
22/04/2010,5.8,5.9,5.5,5.85,5606200
23/04/2010,5.8,5.9,5.8,5.8,4531000
26/04/2010,5.8,5.9,5.8,5.8,9338200
27/04/2010,5.8,5.9,5.8,5.8,11586800
28/04/2010,5.8,5.9,5.8,5.8,7231300
29/04/2010,5.8,5.9,5.8,5.85,4454300
30/04/2010,5.8,5.9,5.8,5.9,4285500
03/05/2010,5.85,5.9,5.8,5.85,6674900
04/05/2010,5.85,5.9,5.8,5.8,9472400
05/05/2010,5.85,6,5.8,6,35654900
06/05/2010,5.95,6.05,5.95,5.95,42927800
07/05/2010,5.95,6,5.9,5.95,41050200
10/05/2010,5.9,6,5.6,5.7,8515600
11/05/2010,5.75,5.8,5.6,5.65,4998600
12/05/2010,5.6,5.7,5.55,5.65,11655600
13/05/2010,5.65,5.8,5.6,5.7,75204100
14/05/2010,5.7,5.8,5.6,5.75,72928500
17/05/2010,5.7,5.7,5.45,5.7,47206500
18/05/2010,5.55,5.7,5.5,5.6,6953000
19/05/2010,5.55,5.6,5.55,5.6,27303600
20/05/2010,5.55,5.6,5.5,5.55,15530100
21/05/2010,5.55,5.65,5.55,5.55,29757600
24/05/2010,5.55,5.6,5.5,5.5,18545900
25/05/2010,5.55,5.6,5.35,5.4,36565400
26/05/2010,5.5,5.7,5.3,5.3,150964700
27/05/2010,5.35,5.9,5.1,5.3,83670900
28/05/2010,5.3,5.65,5.3,5.55,10858900
31/05/2010,5.55,5.6,5.4,5.6,2068100
02/06/2010,5.55,5.65,5.2,5.65,9675700
03/06/2010,5.55,5.65,5.5,5.6,4525600
04/06/2010,5.6,5.65,5.5,5.6,5847300
07/06/2010,5.6,5.6,5.5,5.6,3669100
08/06/2010,5.55,5.6,5.5,5.55,17997900
09/06/2010,5.55,5.55,5.5,5.55,4291500
10/06/2010,5.5,5.6,5.45,5.55,9288100
11/06/2010,5.5,5.65,5.5,5.6,5214500
14/06/2010,5.55,5.65,5.5,5.55,3735000
15/06/2010,5.55,5.7,5.5,5.7,7988400
16/06/2010,5.65,5.9,5.65,5.8,11860800
17/06/2010,5.8,5.9,5.7,5.8,8088100
18/06/2010,5.8,5.85,5.3,5.7,6569300
21/06/2010,5.75,5.8,5.65,5.7,3538500
22/06/2010,5.7,5.8,5.7,5.75,7989100
23/06/2010,5.7,5.8,5.45,5.75,10901600
24/06/2010,5.8,5.9,5.7,5.8,13677200
25/06/2010,5.8,5.9,5.75,5.8,9269500
28/06/2010,5.7,5.85,5.6,5.75,5875900
29/06/2010,5.8,5.85,5.7,5.8,9973700
30/06/2010,5.8,5.9,5.75,5.85,10238900
01/07/2010,5.8,5.9,5.8,5.85,3972500
02/07/2010,5.8,5.85,5.75,5.8,8525400
05/07/2010,5.8,5.85,5.7,5.8,6556500
06/07/2010,5.8,5.95,5.7,5.8,8741700
07/07/2010,5.75,5.8,5.6,5.75,3931700
08/07/2010,5.75,5.85,5.6,5.85,12145300
09/07/2010,5.8,5.85,5.8,5.8,5213300
12/07/2010,5.8,5.9,5.8,5.85,5861100
13/07/2010,5.8,5.9,5.8,5.85,8706700
14/07/2010,5.85,5.95,5.85,5.95,15378900
15/07/2010,5.95,5.95,5.9,5.95,5891400
16/07/2010,5.95,5.95,5.9,5.9,5305400
19/07/2010,5.9,5.9,5.8,5.85,7195500
20/07/2010,5.85,5.9,5.5,5.7,7366200
21/07/2010,5.8,5.9,5.5,5.7,4307000
22/07/2010,5.7,5.8,5.6,5.7,3954600
23/07/2010,5.7,5.75,5.6,5.65,3004400
26/07/2010,5.7,5.7,5.55,5.6,4345500
27/07/2010,5.6,5.7,5.6,5.6,9978800
28/07/2010,5.65,5.75,5.65,5.75,4335400
